curve_id,group,rho,fc,E28,anchor_day,n_obs,last_day,elastic_included,split,stress_ratio,stress_ratio_recorded,applied_stress_recorded_MPa,ratio_review_flag
NU00090,NU_L62,2206.4,33.9,,1.0,10,154.0,True,train,0.289,0.289,9.81,False
NU00091,NU_L62,2206.4,33.9,,1.0,11,154.0,True,train,0.289,0.289,9.81,False
NU00092,NU_L62,2206.4,33.9,,1.0,11,154.0,True,train,0.289,0.289,9.81,False
NU00093,NU_L62,2206.4,33.9,,1.0,11,154.0,True,train,0.289,0.289,9.81,False
NU00109,NU_L29,2434.49,42.6,41604.0,0.74,13,100.0,True,train,0.427,0.427,14.58,False
NU00110,NU_L29,2434.49,42.6,41604.0,0.96,13,100.0,True,train,0.342,0.342,14.58,False
NU00111,NU_L29,2434.49,42.6,41604.0,0.8,13,99.88,True,train,0.286,0.286,14.58,False
NU00113,NU_L29,2434.49,42.6,41604.0,0.54,13,100.0,True,train,0.427,0.427,14.58,False
NU00114,NU_L29,2434.49,42.6,41604.0,1.0,13,100.0,True,train,0.342,0.342,14.58,False
NU00115,NU_L29,2434.49,42.6,41604.0,0.88,13,99.88,True,train,0.286,0.286,14.58,False
NU00116,NU_L29,2434.49,42.6,41604.0,0.88,13,99.88,True,train,,,14.58,False
NU00117,NU_L29,2434.49,42.6,41604.0,1.0,13,100.0,True,train,0.427,0.427,14.58,False
NU00118,NU_L29,2434.49,42.6,41604.0,0.51,14,100.0,True,train,0.342,0.342,14.58,False
NU00119,NU_L29,2434.49,42.6,41604.0,0.88,13,99.88,True,train,0.286,0.286,14.58,False
NU00120,NU_L29,2434.49,42.6,41604.0,0.88,13,99.88,True,train,,,14.58,False
NU00121,NU_L29,2434.49,42.6,41604.0,0.88,13,99.88,True,train,,,14.58,False
NU00122,NU_L29,2434.49,42.6,41604.0,1.0,13,100.0,True,train,0.427,0.427,14.58,False
NU00123,NU_L29,2434.49,42.6,41604.0,1.0,13,100.0,True,train,0.342,0.342,14.58,False
NU00124,NU_L29,2434.49,42.6,41604.0,0.88,13,99.88,True,train,0.286,0.286,14.58,False
NU00125,NU_L29,2434.49,42.6,41604.0,0.88,13,99.88,True,train,,,14.58,False
NU00126,NU_L29,2434.49,42.6,41604.0,0.88,13,99.88,True,train,,,14.58,False
NU00142,NU_L110,2350.56,48.6,,0.1,7,103.0,True,train,0.373,0.373,18.4,False
NU00143,NU_L110,2399.6,48.4,,1.0,14,136.0,True,train,0.436,0.436,24.67,False
NU00150,NU_L106,2444.2,45.0,,0.22,16,140.12,True,train,0.072,0.072,3.63,False
NU00151,NU_L106,2444.2,45.0,,0.1,17,140.0,True,train,0.071,0.071,3.63,False
NU00152,NU_L106,2444.2,45.9,,0.22,17,140.12,True,train,0.357,0.357,15.03,False
NU00153,NU_L106,2444.2,45.9,,0.1,17,140.0,True,train,0.28,0.28,15.03,False
NU00155,NU_L106,2444.2,45.9,,0.22,17,140.12,True,train,0.072,0.072,3.87,False
NU00156,NU_L106,2444.2,42.8,,0.14,17,139.94,True,train,0.17,0.17,7.6,False
NU00157,NU_L106,2444.2,42.8,,0.32,17,140.12,True,train,0.142,0.142,7.6,False
NU00158,NU_L106,2444.2,44.9,,0.22,17,140.12,True,train,0.286,0.286,14.64,False
NU00159,NU_L106,2444.2,44.9,,0.22,17,140.12,True,train,0.27,0.27,14.64,False
NU00160,NU_L106,2444.2,45.9,,0.22,16,112.12,True,train,0.565,0.565,23.79,False
NU00161,NU_L90,2381.0,41.4,,0.1,19,119.0,True,train,0.244,0.244,10.12,False
NU00162,NU_L90,2323.02,40.9,,0.1,15,91.0,True,train,0.23,0.23,9.4,False
NU00163,NU_L90,2323.02,40.9,,0.01,15,90.91,True,train,0.227,0.227,9.29,False
NU00166,NU_L69,2404.31,46.1,,1.0,20,121.1,True,train,0.294,0.294,16.55,False
NU00167,NU_L69,2404.31,46.1,,1.0,20,121.1,True,train,0.294,0.294,16.55,False
NU00170,NU_L69,2404.31,46.1,,1.0,20,120.1,True,train,0.294,0.294,16.55,False
NU00171,NU_L69,2404.31,46.1,,1.0,19,120.1,True,train,0.294,0.294,16.55,False
NU00173,NU_L69,2452.3,51.2,,1.0,17,155.8,True,train,0.069,0.069,4.14,False
NU00176,NU_L69,2452.3,51.2,,0.78,13,92.78,True,train,0.069,0.069,4.14,False
NU00177,NU_L69,2452.3,51.2,,0.88,14,121.68,True,train,0.276,0.276,16.55,False
NU00178,NU_L69,2348.78,46.1,,1.0,11,148.9,True,train,0.293,0.293,16.55,False
NU00183,NU_L60,2395.56,45.4,,0.02,17,135.0,True,train,,,14.48,False
NU00184,NU_L60,2395.56,45.4,,0.01,17,127.0,True,train,,,14.48,False
NU00185,NU_L60,2395.56,45.4,,0.004,21,154.0,True,train,,,22.2,False
NU00186,NU_L60,2395.56,45.4,,0.004,21,154.0,True,train,,,28.96,False
NU00187,NU_L60,2395.56,45.4,,0.004,19,137.0,True,train,,,16.55,False
NU00188,NU_L60,2395.56,45.4,,0.027,20,146.02,True,train,,,14.48,False
NU00189,NU_L60,2395.56,45.4,,0.004,19,153.0,True,train,,,14.48,False
NU00190,NU_L60,2395.56,45.4,,0.014,17,154.01,True,train,,,16.55,False
NU00191,NU_L60,2395.56,45.4,,0.07,15,148.06,True,train,,,14.48,False
NU00192,NU_L60,2395.56,45.4,,0.003,18,156.0,True,train,,,14.48,False
NU00193,NU_L60,2395.56,45.4,,0.004,20,111.0,True,train,,,22.2,False
NU00194,NU_L60,2395.56,45.4,,0.004,19,140.0,True,train,,,28.96,False
NU00195,NU_L60,2395.56,45.4,,0.004,21,127.0,True,train,,,16.55,False
NU00196,NU_L60,2427.7200000000003,45.4,,0.003,19,154.0,True,train,,,14.48,False
NU00197,NU_L60,2427.7200000000003,45.4,,0.004,17,147.0,True,train,,,14.48,False
NU00198,NU_L60,2427.7200000000003,45.4,,0.004,18,140.0,True,train,,,21.99,False
NU00199,NU_L60,2427.7200000000003,45.4,,0.004,19,140.0,True,train,,,29.3,False
NU00200,NU_L60,2427.7200000000003,45.4,,0.004,18,152.0,True,train,,,16.55,False
NU00201,NU_L60,2427.7200000000003,45.4,,0.004,16,113.0,True,train,,,14.48,False
NU00202,NU_L60,2427.7200000000003,45.4,,0.004,19,136.0,True,train,,,14.48,False
NU00203,NU_L60,2427.7200000000003,45.4,,0.004,20,116.0,True,train,,,16.55,False
NU00204,NU_L60,2427.7200000000003,45.4,,0.004,18,153.0,True,train,,,14.48,False
NU00205,NU_L60,2427.7200000000003,45.4,,0.004,18,155.0,True,train,,,14.48,False
NU00206,NU_L60,2427.7200000000003,45.4,,0.004,20,141.0,True,train,,,21.99,False
NU00207,NU_L60,2427.7200000000003,45.4,,0.004,20,141.0,True,train,,,29.3,False
NU00208,NU_L60,2427.7200000000003,45.4,,0.123,17,145.12,True,train,,,16.55,False
NU00209,NU_L114,2340.0,29.2,,1.0,8,90.0,True,train,0.505,0.505,14.71,False
NU00210,NU_L114,2414.2,41.9,,1.0,8,90.0,True,train,0.467,0.467,17.66,False
NU00211,NU_L114,2414.2,37.8,,1.0,8,90.0,True,train,0.589,0.589,17.66,False
NU00212,NU_L114,2513.25,39.0,,1.0,8,90.0,True,train,0.446,0.446,17.66,False
NU00214,NU_L114,2481.9,30.8,,1.0,8,90.0,True,train,0.243,0.243,7.36,False
NU00215,NU_L114,2340.0,29.2,,1.0,8,90.0,True,train,0.505,0.505,14.71,False
NU00216,NU_L114,2384.9,33.6,,1.0,8,90.0,True,train,0.292,0.292,9.81,False
NU00217,NU_L114,2513.25,39.4,,1.0,8,90.0,True,train,0.56,0.56,17.66,False
NU00218,NU_L114,2402.8,45.3,,1.0,8,90.0,True,train,0.325,0.325,14.71,False
NU00219,NU_L114,2564.0,46.2,,1.0,8,90.0,True,train,0.372,0.372,14.71,False
NU00220,NU_L114,2370.0,38.9,,1.0,8,90.0,True,train,0.404,0.404,15.7,False
NU00221,NU_L114,2403.5,43.2,,1.0,8,90.0,True,train,0.363,0.363,15.7,False
NU00224,NU_L114,2481.9,34.1,,1.0,8,90.0,True,train,0.298,0.298,9.81,False
NU00226,NU_L114,2450.15,36.6,,1.0,8,90.0,True,train,0.214,0.214,7.85,False
NU00227,NU_L115,2386.1,54.0,,1.0,5,91.0,True,test,0.361,0.361,10.79,False
NU00228,NU_L115,2386.1,54.0,,1.0,5,91.0,True,test,0.275,0.275,10.79,False
NU00229,NU_L115,2386.1,54.0,,1.0,5,91.0,True,test,0.2,0.2,10.79,False
NU00230,NU_L115,2344.8,46.4,,1.0,5,91.0,True,test,0.355,0.355,10.79,False
NU00231,NU_L115,2344.8,46.4,,1.0,5,91.0,True,test,0.291,0.291,10.79,False
NU00232,NU_L115,2344.8,46.4,,1.0,5,91.0,True,test,0.233,0.233,10.79,False
NU00233,NU_L115,2386.1,60.4,,1.0,5,91.0,True,test,0.359,0.359,10.79,False
NU00234,NU_L115,2386.1,60.4,,1.0,5,91.0,True,test,0.269,0.269,10.79,False
NU00235,NU_L115,2386.1,60.4,,1.0,5,91.0,True,test,0.179,0.179,10.79,False
NU00237,NU_L115,2344.8,54.5,,1.0,5,91.0,True,test,0.314,0.314,10.79,False
NU00238,NU_L115,2344.8,54.5,,1.0,5,91.0,True,test,0.198,0.198,10.79,False
NU00240,NU_L115,2373.2,64.6,,1.0,5,91.0,True,test,0.239,0.239,10.79,False
NU00242,NU_L116,2330.8,33.2,32200.0,0.065,20,137.0,True,train,0.402,0.402,7.36,False
NU00243,NU_L116,2330.8,33.2,32200.0,0.11,18,105.0,True,train,0.394,0.394,10.01,False
NU00244,NU_L116,2330.8,33.2,32200.0,0.0173063,17,140.0,True,train,0.393,0.393,13.05,False
NU00245,NU_L116,2330.8,33.2,32200.0,0.86,16,152.0,True,train,,,13.05,False
NU00246,NU_L116,2330.8,33.2,32200.0,0.0032,16,147.0,True,train,,,13.05,False
NU00247,NU_L116,2330.25,33.2,,1.0,12,139.0,True,train,0.396,0.396,13.15,False
NU00248,NU_L116,2330.25,33.2,,0.2,15,147.0,True,train,,,13.05,False
NU00250,NU_L116,2340.45,46.5,37500.0,1.0,17,134.0,True,train,0.399,0.399,9.81,False
NU00251,NU_L116,2340.45,46.5,37500.0,0.0046,19,133.0,True,train,0.398,0.398,14.52,False
NU00252,NU_L116,2340.45,46.5,37500.0,0.0152231,17,146.0,True,train,0.392,0.392,14.62,False
NU00253,NU_L116,2340.45,46.5,37500.0,0.120927,17,155.0,True,train,0.396,0.396,18.44,False
NU00254,NU_L116,2340.45,46.5,37500.0,0.0233074,16,147.0,True,train,,,18.44,False
NU00255,NU_L116,2340.45,46.5,37500.0,0.3,15,147.0,True,train,,,18.44,False
NU00256,NU_L116,2300.08,34.9,,1.0,19,140.0,True,train,0.374,0.374,13.05,False
NU00257,NU_L116,2309.74,34.9,,1.0,14,153.0,True,train,0.374,0.374,13.05,False
NU00258,NU_L116,2290.12,39.9,,1.0,18,125.0,True,train,0.327,0.327,13.05,False
NU00259,NU_L116,2310.8,39.1,,0.2,15,146.0,True,train,0.334,0.334,13.05,False
NU00260,NU_L116,2300.08,34.9,,1.0,19,127.0,True,train,,,13.05,False
NU00261,NU_L116,2309.74,34.9,,1.0,18,120.0,True,train,,,13.05,False
NU00262,NU_L116,2290.12,39.9,,0.2,15,147.0,True,train,,,15.5,False
NU00264,NU_L116,2330.5,34.1,27800.0,1.0,19,126.0,True,train,0.428,0.428,5.4,False
NU00265,NU_L116,2330.5,34.1,27800.0,0.2,15,147.0,True,train,0.388,0.388,8.04,False
NU00266,NU_L116,2330.5,34.1,27800.0,0.0579636,18,140.0,True,train,0.397,0.397,13.54,False
NU00267,NU_L116,2330.5,34.1,27800.0,0.05,19,160.0,True,train,,,13.73,False
NU00268,NU_L116,2330.5,33.2,35400.0,0.0469576,19,160.0,True,train,0.395,0.395,8.53,False
NU00269,NU_L116,2330.5,33.2,35400.0,0.0642026,18,160.0,True,train,0.396,0.396,13.15,False
NU00270,NU_L116,2330.5,33.2,35400.0,0.9,15,152.0,True,train,,,13.05,False
NU00271,NU_L116,2330.5,30.8,28400.0,0.2,15,147.0,True,train,0.393,0.393,7.06,False
NU00272,NU_L116,2330.5,30.8,28400.0,0.2,15,147.0,True,train,0.395,0.395,12.16,False
NU00274,NU_L376,2371.7200000000003,53.1,,0.4,14,132.0,True,test,,,23.0,False
NU00275,NU_L376,2371.7200000000003,53.1,,0.13,16,130.03,True,test,,,23.0,False
NU00276,NU_L77,2300.44,62.0,,1.0,11,60.0,True,train,,,28.35,False
NU00277,NU_L77,2300.44,62.0,,1.0,11,60.0,True,train,,,40.3,False
NU00278,NU_L77,2300.44,62.0,,1.0,10,60.0,True,train,,,52.7,False
NU00279,NU_L117,2370.36,17.7,,0.2,7,150.0,True,train,0.314,0.314,5.55,False
NU00280,NU_L117,2370.36,17.7,,0.1,8,150.0,True,train,0.461,0.461,8.15,False
NU00282,NU_L117,2449.95,19.0,,0.1,8,150.0,True,train,0.429,0.429,8.15,False
NU00283,NU_L117,2419.85,23.9,,0.1,8,144.0,True,train,0.283,0.283,6.77,False
NU00284,NU_L117,2419.85,23.9,,0.2,7,144.0,True,train,0.516,0.516,12.32,False
NU00285,NU_L117,2390.0,10.8,,0.2,7,144.0,True,train,0.337,0.337,3.64,False
NU00286,NU_L117,2390.0,10.8,,0.1,8,144.0,True,train,0.514,0.514,5.55,False
NU00287,NU_L377,2319.7,30.3,,0.2,17,153.0,True,train,0.473,0.473,16.32,False
NU00288,NU_L377,2319.7,30.3,,0.3,17,152.0,True,train,0.571,0.571,19.71,False
NU00335,NU_L96,2318.1,15.5,27000.0,0.22,13,125.12,True,test,0.389,0.389,6.03,False
NU00339,NU_L96,2318.1,15.5,27000.0,0.01,22,141.61,True,test,0.358,0.358,5.55,False
NU00341,NU_L96,2318.1,15.5,27000.0,0.0,19,99.88,True,test,,,6.75,False
NU00342,NU_L96,2318.1,15.5,27000.0,0.05,12,87.38,True,test,,,6.75,False
NU00343,NU_L96,2318.1,15.5,27000.0,0.01,12,124.97,True,test,,,6.75,False
NU00344,NU_L96,2318.1,15.5,27000.0,0.013,16,124.91,True,test,,,6.5,False
NU00345,NU_L96,2318.1,15.5,27000.0,0.08,23,124.88,True,test,,,6.75,False
NU00346,NU_L96,2318.1,15.5,27000.0,0.03,19,104.08,True,test,,,6.75,False
NU00350,NU_L91,2424.86,52.4,31556.0,0.315,13,136.0,True,train,0.296,0.296,15.5,False
NU00351,NU_L91,2424.86,52.4,31556.0,0.959,14,136.0,True,train,0.296,0.296,15.5,False
NU00352,NU_L91,2424.86,52.4,31556.0,0.5,11,109.0,True,train,,,15.5,False
NU00353,NU_L91,2424.86,52.4,31556.0,0.5,7,137.0,True,train,,,15.5,False
NU00354,NU_L91,2432.36,63.0,36241.0,0.766,12,143.0,True,train,0.246,0.246,15.5,False
NU00355,NU_L91,2432.36,63.0,36241.0,0.257,12,143.0,True,train,0.246,0.246,15.5,False
NU00356,NU_L91,2432.36,63.0,36241.0,1.0,17,155.0,True,train,,,15.5,False
NU00357,NU_L91,2432.36,63.0,36241.0,0.11,12,127.0,True,train,,,15.5,False
NU00358,NU_L95,2558.4,50.1,29800.0,1.0,12,132.0,True,test,,,7.0,False
NU00359,NU_L95,2558.4,50.1,29800.0,1.0,9,126.0,True,test,,,7.0,False
NU00360,NU_L95,2558.4,50.1,29800.0,0.112,9,119.0,True,test,,,7.0,False
NU00361,NU_L95,2558.4,50.1,29800.0,0.0672,10,154.0,True,test,0.14,0.14,7.0,False
NU00362,NU_L95,2558.4,50.1,29800.0,0.17,11,128.0,True,test,,,7.0,False
NU00363,NU_L95,2558.4,50.1,29800.0,0.049,10,121.0,True,test,,,7.0,False
NU00364,NU_L95,2558.4,50.1,29800.0,1.0,12,132.0,True,test,,,7.0,False
NU00365,NU_L95,2558.4,50.1,29800.0,1.0,9,126.0,True,test,,,7.0,False
NU00366,NU_L95,2558.4,50.1,29800.0,1.0,8,119.0,True,test,,,7.0,False
NU00367,NU_L95,2558.4,50.1,29800.0,0.0187,10,154.0,True,test,0.14,0.14,7.0,False
NU00368,NU_L95,2558.4,50.1,29800.0,0.88,11,127.88,True,test,,,7.0,False
NU00369,NU_L95,2558.4,50.1,29800.0,1.0,10,121.0,True,test,,,7.0,False
NU00370,NU_L95,2558.4,50.1,29800.0,1.0,9,126.0,True,test,,,7.0,False
NU00371,NU_L95,2558.4,50.1,29800.0,1.0,9,126.0,True,test,,,7.0,False
NU00372,NU_L95,2558.4,50.1,29800.0,1.0,9,126.0,True,test,,,7.0,False
NU00373,NU_L95,2558.4,50.1,29800.0,1.0,9,126.0,True,test,,,7.0,False
NU00389,NU_L32,2437.58,78.6,43200.0,0.0551,15,140.0,True,validation,0.447,0.447,35.1,False
NU00390,NU_L32,2433.74,91.9,45500.0,0.177,15,140.0,True,validation,0.309,0.309,28.4,False
NU00391,NU_L32,2457.82,118.9,50800.0,0.0545,15,140.0,True,validation,0.389,0.389,46.3,False
NU00392,NU_L32,2464.65,107.0,48400.0,0.161,15,140.0,True,validation,0.424,0.424,45.4,False
NU00414,NU_L399,2462.5,75.6,,1.0,14,148.0,True,train,0.401,0.401,30.3,False
NU00415,NU_L399,2462.5,75.6,,1.0,14,148.0,True,train,0.401,0.401,30.3,False
NU00416,NU_L399,2457.07,82.9,,1.0,14,135.0,True,train,0.402,0.402,33.3,False
NU00417,NU_L399,2457.07,82.9,,1.0,14,147.0,True,train,0.402,0.402,33.3,False
NU00418,NU_L399,2436.3500000000004,97.0,,1.0,14,144.0,True,train,0.423,0.423,41.0,False
NU00419,NU_L399,2436.3500000000004,97.0,,1.0,11,144.0,True,train,0.423,0.423,41.0,False
NU00420,NU_L399,2413.1400000000003,96.6,,1.0,9,139.0,True,train,0.363,0.363,35.1,False
NU00421,NU_L399,2436.3500000000004,66.6,,1.0,11,152.0,True,train,0.615,0.615,41.0,False
NU00422,NU_L399,2418.3,57.7,,1.0,9,94.0,True,train,0.48,0.48,27.7,False
NU00423,NU_L399,2418.3,57.7,,1.0,9,94.0,True,train,0.48,0.48,27.7,False
NU00424,NU_L399,2471.8,55.9,,1.0,8,99.0,True,train,0.383,0.383,21.4,False
NU00426,NU_L399,2426.45,67.6,,1.0,9,145.0,True,train,0.416,0.416,28.1,False
NU00427,NU_L399,2459.7,75.9197,,1.0,8,153.0,True,train,0.393,0.393,29.8,False
NU00428,NU_L399,2413.65,75.0,,1.0,8,154.0,True,train,0.397,0.397,29.8,False
NU00429,NU_L399,2459.7,75.9197,,1.0,7,146.0,True,train,0.393,0.393,29.8,False
NU00430,NU_L399,2480.8,75.0,,1.0,7,136.0,True,train,0.533,0.533,40.0,False
NU00431,NU_L399,2433.8500000000004,99.5,,1.0,7,136.0,True,train,0.402,0.402,40.0,False
NU00432,NU_L399,2448.1,83.4,,1.0,6,149.0,True,train,0.423,0.423,35.3,False
NU00435,NU_L399,2558.28,89.1,,1.0,9,139.0,True,train,0.394,0.394,35.1,False
NU00439,NU_L399,2521.74,71.1,,1.0,10,145.0,True,train,0.395,0.395,28.1,False
NU00445,NU_L399,2482.7,70.9,,1.0,9,155.0,True,train,0.464,0.464,32.9,False
NU00446,NU_L399,2436.3500000000004,97.0,,1.0,8,155.0,True,train,0.339,0.339,32.9,False
NU00448,NU_L399,2341.4,48.7,,1.0,8,145.0,True,train,0.38,0.38,18.5,False
NU00449,NU_L399,2341.4,48.7,,1.0,8,145.0,True,train,0.38,0.38,18.5,False
NU00457,NU_L45,2445.1,100.3,,1.0,9,90.0,True,test,0.358,0.358,13.9,False
NU00458,NU_L45,2445.1,100.3,,1.0,9,90.0,True,test,0.597,0.597,23.2,False
NU00459,NU_L45,2445.1,100.3,,1.0,9,90.0,True,test,0.837,0.837,32.5,False
NU00462,NU_L45,2445.1,100.3,,1.0,9,90.0,True,test,0.837,0.837,32.2,False
NU00464,NU_L45,2447.0,92.8,,1.0,9,90.0,True,test,0.599,0.599,21.9,False
NU00472,NU_L385,2342.45,40.3,30200.0,1.0,8,90.0,True,train,0.407,0.407,6.67,False
NU00473,NU_L385,2342.45,40.3,30200.0,1.0,8,90.0,True,train,0.389,0.389,11.38,False
NU00474,NU_L385,2342.45,40.3,30200.0,0.041,9,90.0,True,train,0.414,0.414,14.42,False
NU00475,NU_L385,2342.45,40.3,30200.0,0.033,9,90.0,True,train,0.392,0.392,15.79,False
NU00476,NU_L385,2342.45,40.3,30200.0,0.0354,9,90.0,True,train,0.419,0.419,17.36,False
NU00477,NU_L385,2342.45,40.3,30200.0,1.0,8,90.0,True,train,0.389,0.389,11.38,False
NU00478,NU_L385,2342.45,40.3,30200.0,1.0,8,90.0,True,train,0.414,0.414,14.42,False
NU00479,NU_L385,2342.45,40.3,30200.0,0.0704,9,90.0,True,train,0.392,0.392,15.79,False
NU00480,NU_L385,2342.45,40.3,30200.0,0.14,9,90.0,True,train,0.419,0.419,17.36,False
NU00496,NU_L60,2396.7200000000003,45.4,,0.15133,18,135.386,True,train,,,14.5,False
NU00497,NU_L60,2396.7200000000003,45.4,,0.0304167,18,159.245,True,train,,,14.5,False
NU00498,NU_L60,2396.7200000000003,45.4,,0.000265734,21,158.195,True,train,,,14.5,False
NU00506,NU_L69,2454.3,43.4,,0.608611,13,150.524,True,train,,,16.6,False
NU00507,NU_L106,2454.3,42.8,,0.241358,17,138.879,True,train,,,16.6,False
NU00508,NU_L106,2454.3,42.8,,0.245251,17,138.123,True,train,,,4.15,False
NU00522,NU_L84,2212.93,14.3,,0.00910073,20,95.4453,True,test,,,4.72,False
NU00523,NU_L84,2212.93,14.3,,0.0201767,18,149.087,True,test,,,4.72,False
NU00524,NU_L84,2212.93,14.3,,0.00917874,11,125.333,True,test,,,4.72,False
NU00526,NU_L84,2212.93,14.3,,0.0247093,12,84.834,True,test,,,4.72,False
NU00527,NU_L84,2212.93,14.3,,0.0168269,11,99.99,True,test,,,4.72,False
NU00528,NU_L84,2212.93,14.3,,0.0227583,12,138.95,True,test,,,4.72,False
NU00529,NU_L84,2212.93,14.3,,0.0209619,8,100.0,True,test,,,4.72,False
NU00543,NU_L361,2402.2000000000003,31.5,31516.8,0.0,18,154.0,True,train,0.3,0.3,,False
NU00544,NU_L361,2427.9,37.0,33253.6,0.0,18,153.7,True,train,0.3,0.3,,False
NU00545,NU_L361,2413.6,51.0,37008.0,0.0,19,154.2,True,train,0.3,0.3,,False
NU00546,NU_L361,2436.0,48.5,36393.1,0.0,18,153.9,True,train,0.3,0.3,,False
NU00547,NU_L361,2436.0,72.0,41516.0,0.0,19,154.5,True,train,0.3,0.3,,False
NU00548,NU_L361,2461.2,70.0,41128.0,0.0,19,154.1,True,train,0.3,0.3,,False
NU00549,NU_L361,2419.32,93.0,45213.3,0.0,19,153.8,True,train,0.3,0.3,,False
NU00550,NU_L361,2443.12,108.0,47524.0,0.0,19,153.7,True,train,0.3,0.3,,False
NU00551,NU_L362,2340.35,54.8,37905.2,0.0,31,158.45,True,train,0.2,0.2,1.73,False
NU00552,NU_L362,2340.35,54.8,37905.2,0.1,31,91.19,True,train,0.2,0.2,3.33,False
NU00553,NU_L362,2340.35,54.8,37905.2,0.0,34,158.49,True,train,0.2,0.2,4.82,False
NU00554,NU_L362,2340.35,54.8,37905.2,0.0,32,94.89,True,train,0.2,0.2,7.07,False
NU00555,NU_L362,2340.35,54.8,37905.2,0.01,27,52.77,True,train,0.2,0.2,7.0,False
NU00556,NU_L362,2400.0,96.5,45773.5,0.0,29,90.65,True,train,0.2,0.2,4.47,False
NU00557,NU_L362,2400.0,96.5,45773.5,0.0,34,158.54,True,train,0.2,0.2,6.55,False
